hs_chapter,category,chapter_title,is_primary
01,agriculture,"Live animals",false
02,perishables,"Meat and edible meat offal",true
03,perishables,"Fish, crustaceans, molluscs and other aquatic invertebrates",true
04,food_beverages,"Dairy produce; birds' eggs; natural honey",true
05,agriculture,"Products of animal origin, not elsewhere specified",false
06,agriculture,"Live trees and other plants; bulbs, cut flowers",true
07,perishables,"Edible vegetables and certain roots and tubers",true
08,perishables,"Edible fruit and nuts; peel of citrus fruit or melons",true
09,food_beverages,"Coffee, tea, mate and spices",true
10,agriculture,"Cereals",true
11,food_beverages,"Products of the milling industry; malt; starches",true
12,agriculture,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit",true
13,agriculture,"Lac; gums, resins and other vegetable saps and extracts",false
14,agriculture,"Vegetable plaiting materials; vegetable products not elsewhere specified",true
15,food_beverages,"Animal or vegetable fats and oils and their cleavage products",true
16,food_beverages,"Preparations of meat, fish, crustaceans, molluscs or other aquatic invertebrates",true
17,food_beverages,"Sugars and sugar confectionery",true
18,food_beverages,"Cocoa and cocoa preparations",true
19,food_beverages,"Preparations of cereals, flour, starch or milk; pastrycooks' products",true
20,food_beverages,"Preparations of vegetables, fruit, nuts or other parts of plants",true
21,food_beverages,"Miscellaneous edible preparations",true
22,food_beverages,"Beverages, spirits and vinegar",true
23,agriculture,"Residues and waste from the food industries; prepared animal fodder",true
24,food_beverages,"Tobacco and manufactured tobacco substitutes",false
25,construction,"Salt; sulphur; earths and stone; plastering materials, lime and cement",true
26,minerals,"Ores, slag and ash",true
27,energy,"Mineral fuels, mineral oils and products of their distillation",true
28,chemicals,"Inorganic chemicals; organic or inorganic compounds of precious metals",true
29,chemicals,"Organic chemicals",true
30,pharmaceuticals,"Pharmaceutical products",true
31,chemicals,"Fertilizers",true
32,chemicals,"Tanning or dyeing extracts; dyes, pigments, paints and varnishes",true
33,cosmetics,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",true
34,chemicals,"Soap, organic surface-active agents, washing preparations, lubricants",true
35,chemicals,"Albuminoidal substances; modified starches; glues; enzymes",true
36,chemicals,"Explosives; pyrotechnic products; matches; pyrophoric alloys",false
37,electronics,"Photographic or cinematographic goods",false
38,chemicals,"Miscellaneous chemical products",true
39,plastics,"Plastics and articles thereof",true
40,plastics,"Rubber and articles thereof",true
41,agriculture,"Raw hides and skins (other than furskins) and leather",false
42,luxury,"Articles of leather; saddlery and harness; travel goods, handbags",false
43,luxury,"Furskins and artificial fur; manufactures thereof",false
44,construction,"Wood and articles of wood; wood charcoal",false
45,construction,"Cork and articles of cork",false
46,furniture,"Manufactures of straw, esparto or other plaiting materials; basketware",false
47,paper,"Pulp of wood or of other fibrous cellulosic material; recovered waste paper",true
48,paper,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",true
49,paper,"Printed books, newspapers, pictures and other products of the printing industry",true
50,textiles,"Silk",true
51,textiles,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",true
52,textiles,"Cotton",true
53,textiles,"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn",true
54,textiles,"Man-made filaments; strip and the like of man-made textile materials",true
55,textiles,"Man-made staple fibres",true
56,textiles,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables",true
57,textiles,"Carpets and other textile floor coverings",true
58,textiles,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery",true
59,textiles,"Impregnated, coated, covered or laminated textile fabrics",true
60,textiles,"Knitted or crocheted fabrics",true
61,textiles,"Articles of apparel and clothing accessories, knitted or crocheted",true
62,textiles,"Articles of apparel and clothing accessories, not knitted or crocheted",true
63,textiles,"Other made-up textile articles; sets; worn clothing; rags",true
64,textiles,"Footwear, gaiters and the like; parts of such articles",false
65,textiles,"Headgear and parts thereof",false
66,textiles,"Umbrellas, sun umbrellas, walking sticks, whips, riding-crops",false
67,textiles,"Prepared feathers and down; artificial flowers; articles of human hair",false
68,construction,"Articles of stone, plaster, cement, asbestos, mica or similar materials",true
69,construction,"Ceramic products",true
70,construction,"Glass and glassware",true
71,luxury,"Natural or cultured pearls, precious or semi-precious stones, precious metals, jewelry",true
72,metals,"Iron and steel",true
73,metals,"Articles of iron or steel",true
74,metals,"Copper and articles thereof",true
75,metals,"Nickel and articles thereof",true
76,metals,"Aluminium and articles thereof",true
78,metals,"Lead and articles thereof",true
79,metals,"Zinc and articles thereof",true
80,metals,"Tin and articles thereof",true
81,metals,"Other base metals; cermets; articles thereof",true
82,metals,"Tools, implements, cutlery, spoons and forks, of base metal",false
83,metals,"Miscellaneous articles of base metal",false
84,machinery,"Nuclear reactors, boilers, machinery and mechanical appliances",true
85,electronics,"Electrical machinery and equipment; sound and television recorders",true
86,machinery,"Railway or tramway locomotives, rolling stock and parts thereof",false
87,automotive,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",true
88,machinery,"Aircraft, spacecraft, and parts thereof",false
89,machinery,"Ships, boats and floating structures",false
90,pharmaceuticals,"Optical, photographic, measuring, checking, precision, medical or surgical instruments",false
91,luxury,"Clocks and watches and parts thereof",false
92,toys,"Musical instruments; parts and accessories of such articles",false
93,defense,"Arms and ammunition; parts and accessories thereof",true
94,furniture,"Furniture; bedding, mattresses, lighting",true
95,toys,"Toys, games and sports requisites; parts and accessories thereof",true
96,toys,"Miscellaneous manufactured articles",false
97,luxury,"Works of art, collectors' pieces and antiques",false
