hs_code,chapter,description
010121,01,"Live horses, asses, mules and hinnies, Horses, Purebred breeding animals"
010129,01,"Live horses, asses, mules and hinnies, Horses, Other"
010130,01,"Live horses, asses, mules and hinnies, Asses"
010190,01,"Live horses, asses, mules and hinnies, Other"
010221,01,"Live bovine animals, Cattle, Purebred breeding animals"
010229,01,"Live bovine animals, Cattle, Other"
010231,01,"Live bovine animals, Buffalo, Purebred breeding animals"
010239,01,"Live bovine animals, Buffalo, Other"
010290,01,"Live bovine animals, Other"
010310,01,"Live swine, Purebred breeding animals"
010391,01,"Live swine, Other, Weighing less than 50 kg each"
010392,01,"Live swine, Other, Weighing 50 kg or more each"
010410,01,"Live sheep and goats, Sheep"
010420,01,"Live sheep and goats, Goats"
010511,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Weighing not more than 185 g, Chickens"
010512,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Weighing not more than 185 g, Turkeys"
010513,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Weighing not more than 185 g, Ducks"
010514,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Weighing not more than 185 g, Geese"
010515,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Weighing not more than 185 g, Guinea fowls"
010594,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Other, Chickens"
010599,01,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas, Other, Other"
010611,01,"Other live animals, Mammals, Primates"
010612,01,"Other live animals, Mammals, Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,01,"Other live animals, Mammals, Camels and other camelids (Camelidae)"
010614,01,"Other live animals, Mammals, Rabbits and hares"
010619,01,"Other live animals, Mammals, Other"
010620,01,"Other live animals, Reptiles (including snakes and turtles)"
010631,01,"Other live animals, Birds, Birds of prey"
010632,01,"Other live animals, Birds, Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,01,"Other live animals, Birds, Ostriches; emus (Dromaius novaehollandiae)"
010639,01,"Other live animals, Birds, Other"
010641,01,"Other live animals, Insects, Bees"
010649,01,"Other live animals, Insects, Other"
010690,01,"Other live animals, Other"
020110,02,"Meat of bovine animals, fresh or chilled, Carcasses and half-carcasses"
020120,02,"Meat of bovine animals, fresh or chilled, Other cuts with bone in"
020130,02,"Meat of bovine animals, fresh or chilled, Boneless"
020210,02,"Meat of bovine animals, frozen, Carcasses and half-carcasses"
020220,02,"Meat of bovine animals, frozen, Other cuts with bone in"
020230,02,"Meat of bovine animals, frozen, Boneless"
020311,02,"Meat of swine, fresh, chilled, or frozen, Fresh or chilled, Carcasses and half-carcasses"
020312,02,"Meat of swine, fresh, chilled, or frozen, Fresh or chilled, Hams, shoulders and cuts thereof, with bone in"
020319,02,"Meat of swine, fresh, chilled, or frozen, Fresh or chilled, Other"
020321,02,"Meat of swine, fresh, chilled, or frozen, Frozen, Carcasses and half-carcasses"
020322,02,"Meat of swine, fresh, chilled, or frozen, Frozen, Hams, shoulders and cuts thereof, with bone in"
020329,02,"Meat of swine, fresh, chilled, or frozen, Frozen, Other"
020410,02,"Meat of sheep or goats, fresh, chilled or frozen, Carcasses and half-carcasses of lamb, fresh or chilled"
020421,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, fresh or chilled, Carcasses and half-carcasses"
020422,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, fresh or chilled, Other cuts with bone in"
020423,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, fresh or chilled, Boneless"
020430,02,"Meat of sheep or goats, fresh, chilled or frozen, Carcasses and half-carcasses of lamb, frozen"
020441,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, frozen, Carcasses and half-carcasses"
020442,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, frozen, Other cuts with bone in"
020443,02,"Meat of sheep or goats, fresh, chilled or frozen, Other meat of sheep, frozen, Boneless"
020450,02,"Meat of sheep or goats, fresh, chilled or frozen, Meat of goats"
020500,02,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of bovine animals, fresh or chilled"
020621,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of bovine animals, frozen, Tongues"
020622,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of bovine animals, frozen, Livers"
020629,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of bovine animals, frozen, Other"
020630,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of swine, fresh or chilled"
020641,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of swine, frozen, Livers"
020649,02,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen, Of swine, frozen, Other"
