id,keyword,hs_chapter,signal_class,status,in_own_chapter_source,appears_in_n_chapters,reason
10034,hatching eggs,01,anchor,flagged,False,0,not_in_any_source_text
10033,horses for export,01,anchor,flagged,False,0,not_in_any_source_text
10030,livestock,01,anchor,review,False,1,in_other_chapters:23
10041,chicken carcass,02,anchor,flagged,False,0,not_in_any_source_text
10040,frozen meat,02,anchor,flagged,False,0,not_in_any_source_text
10038,pork,02,anchor,review,False,1,in_other_chapters:16
10046,fresh fish,03,anchor,flagged,False,0,not_in_any_source_text
10047,frozen fish,03,anchor,flagged,False,0,not_in_any_source_text
10064,animal hair,05,anchor,review,False,16,"in_other_chapters:51,52,53,54,55"
10069,seedlings,06,anchor,flagged,False,0,not_in_any_source_text
10071,tree saplings,06,anchor,flagged,False,0,not_in_any_source_text
10076,fresh vegetables,07,anchor,flagged,False,0,not_in_any_source_text
10079,fresh fruit,08,anchor,flagged,False,0,not_in_any_source_text
10096,black pepper,09,anchor,review,False,1,in_other_chapters:33
10087,coffee beans,09,anchor,flagged,False,0,not_in_any_source_text
10088,instant coffee,09,anchor,review,False,1,in_other_chapters:21
10110,corn starch,11,anchor,flagged,False,0,not_in_any_source_text
10115,cottonseed,12,anchor,review,False,1,in_other_chapters:15
10117,natural resin,13,anchor,review,False,1,in_other_chapters:96
10118,vegetable extract,13,anchor,flagged,False,0,not_in_any_source_text
10121,vegetable fibre,14,anchor,review,False,1,in_other_chapters:68
10126,coconut oil,15,anchor,flagged,False,0,not_in_any_source_text
10125,sunflower oil,15,anchor,flagged,False,0,not_in_any_source_text
10130,canned sardines,16,anchor,flagged,False,0,not_in_any_source_text
10129,canned tuna,16,anchor,flagged,False,0,not_in_any_source_text
10133,prepared meat,16,anchor,flagged,False,0,not_in_any_source_text
10132,sausages canned,16,anchor,flagged,False,0,not_in_any_source_text
10139,candy,17,anchor,review,False,4,"in_other_chapters:18,44,69,84"
10136,refined sugar,17,anchor,flagged,False,0,not_in_any_source_text
10149,breakfast cereal,19,anchor,flagged,False,0,not_in_any_source_text
10150,canned vegetables,20,anchor,flagged,False,0,not_in_any_source_text
10153,frozen vegetables,20,anchor,flagged,False,0,not_in_any_source_text
10154,pickles,20,anchor,flagged,False,0,not_in_any_source_text
10158,instant noodles,21,anchor,flagged,False,0,not_in_any_source_text
10159,protein powder,21,anchor,flagged,False,0,not_in_any_source_text
10157,soup mix,21,anchor,flagged,False,0,not_in_any_source_text
10165,bottled water,22,anchor,flagged,False,0,not_in_any_source_text
10162,whisky,22,anchor,flagged,False,0,not_in_any_source_text
10170,fish meal,23,anchor,flagged,False,0,not_in_any_source_text
10171,oil cake,23,anchor,flagged,False,0,not_in_any_source_text
10176,nicotine pouches,24,anchor,flagged,False,0,not_in_any_source_text
10175,tobacco leaves,24,anchor,flagged,False,0,not_in_any_source_text
10177,vape liquid,24,anchor,flagged,False,0,not_in_any_source_text
10187,coal slag,26,anchor,flagged,False,0,not_in_any_source_text
10188,mineral ore,26,anchor,flagged,False,0,not_in_any_source_text
10189,crude oil,27,anchor,review,False,1,in_other_chapters:15
10206,ethanol industrial,29,anchor,flagged,False,0,not_in_any_source_text
10208,glycerin,29,anchor,flagged,False,0,not_in_any_source_text
10216,capsules,30,anchor,review,False,3,"in_other_chapters:19,83,96"
10213,medicines,30,anchor,flagged,False,0,not_in_any_source_text
10222,syringe sterile,30,anchor,flagged,False,0,not_in_any_source_text
10215,tablets,30,anchor,review,False,2,"in_other_chapters:31,32"
10227,nitrogen fertilizer,31,anchor,flagged,False,0,not_in_any_source_text
10228,phosphate fertilizer,31,anchor,flagged,False,0,not_in_any_source_text
10226,potash,31,anchor,review,False,1,in_other_chapters:28
10242,cologne,33,anchor,flagged,False,0,not_in_any_source_text
10237,cosmetics,33,anchor,review,False,1,in_other_chapters:96
10241,fragrance,33,anchor,flagged,False,0,not_in_any_source_text
10239,lipstick,33,anchor,flagged,False,0,not_in_any_source_text
10240,mascara,33,anchor,flagged,False,0,not_in_any_source_text
10246,laundry detergent,34,anchor,flagged,False,0,not_in_any_source_text
10245,shampoo,34,anchor,review,False,1,in_other_chapters:33
10247,washing powder,34,anchor,flagged,False,0,not_in_any_source_text
10249,wax polish,34,anchor,flagged,False,0,not_in_any_source_text
10263,x-ray film,37,anchor,flagged,False,0,not_in_any_source_text
10265,industrial chemical,38,anchor,flagged,False,0,not_in_any_source_text
10268,laboratory chemical,38,anchor,flagged,False,0,not_in_any_source_text
10273,plastic bag,39,anchor,flagged,False,0,not_in_any_source_text
10274,plastic pellets,39,anchor,flagged,False,0,not_in_any_source_text
10272,pvc,39,anchor,flagged,False,0,not_in_any_source_text
10281,rubber gloves,40,anchor,flagged,False,0,not_in_any_source_text
10287,cattle hide,41,anchor,flagged,False,0,not_in_any_source_text
10285,rawhide,41,anchor,flagged,False,0,not_in_any_source_text
10288,sheep skin,41,anchor,flagged,False,0,not_in_any_source_text
10289,tanned leather,41,anchor,flagged,False,0,not_in_any_source_text
10293,leather belt,42,anchor,flagged,False,0,not_in_any_source_text
10295,leather goods,42,anchor,review,False,1,in_other_chapters:83
10291,leather wallet,42,anchor,flagged,False,0,not_in_any_source_text
10296,fur coat,43,anchor,flagged,False,0,not_in_any_source_text
10300,fur trim,43,anchor,flagged,False,0,not_in_any_source_text
10309,fuelwood,44,anchor,flagged,False,0,not_in_any_source_text
10306,sawn wood,44,anchor,flagged,False,0,not_in_any_source_text
