hs_chapter,signal_class,keyword,target_chapter,suppress_category_slug,head_noun
01,anchor,livestock,,,
01,anchor,breeding stock,,,
01,anchor,cattle,,,
01,anchor,horses for export,,,
01,anchor,hatching eggs,,,
95,suppressor,plush,,live_animals_animal_products,
95,suppressor,stuffed toy,,live_animals_animal_products,
02,anchor,beef,,,
02,anchor,pork,,,
02,anchor,lamb,,,
02,anchor,frozen meat,,,
02,anchor,chicken carcass,,,
16,anchor,sausage,,,
02,anchor,bacon,,,
21,suppressor,plant-based,,live_animals_animal_products,
21,suppressor,vegan meat,,live_animals_animal_products,
03,anchor,fresh fish,,,
03,anchor,frozen fish,,,
03,anchor,salmon,,,
03,anchor,shrimp,,,
03,anchor,tuna,,,
03,anchor,lobster,,,
03,anchor,fish fillet,,,
04,anchor,milk,,,
04,anchor,cheese,,,
04,anchor,butter,,,
04,anchor,yogurt,,,
04,anchor,eggs,,,
04,anchor,honey,,,
22,suppressor,soy milk,,live_animals_animal_products,
22,suppressor,almond milk,,live_animals_animal_products,
22,suppressor,oat milk,,live_animals_animal_products,
05,anchor,feathers,,,
05,anchor,bones,,,
05,anchor,animal hair,,,
05,anchor,ivory,,,
06,anchor,cut flowers,,,
06,anchor,live plants,,,
06,anchor,bulbs,,,
06,anchor,seedlings,,,
06,anchor,ornamental foliage,,,
06,anchor,tree saplings,,,
07,anchor,potatoes,,,
07,anchor,onions,,,
07,anchor,tomatoes,,,
07,anchor,carrots,,,
07,anchor,fresh vegetables,,,
07,anchor,lettuce,,,
07,anchor,cabbage,,,
08,anchor,fresh fruit,,,
08,anchor,apples,,,
08,anchor,oranges,,,
08,anchor,bananas,,,
08,anchor,citrus,,,
08,anchor,nuts,,,
08,anchor,dates,,,
09,anchor,coffee,,,
09,anchor,coffee beans,,,
09,anchor,instant coffee,,,
09,anchor,tea,,,
09,anchor,tea bags,,,
09,anchor,green tea,,,
09,anchor,black tea,,,
09,anchor,cardamom,,,
09,anchor,cinnamon,,,
09,anchor,turmeric,,,
09,anchor,black pepper,,,
85,suppressor,tablet computer,,pharmaceuticals,
85,suppressor,android tablet,,pharmaceuticals,
10,anchor,wheat,,,
10,anchor,rice,,,
10,anchor,corn,,,
10,anchor,barley,,,
10,anchor,oats,,,
10,anchor,maize,,,
10,anchor,grain,,,
11,anchor,flour,,,
11,anchor,wheat flour,,,
11,anchor,starch,,,
11,anchor,malt,,,
11,anchor,corn starch,,,
12,anchor,soybeans,,,
12,anchor,sunflower seeds,,,
12,anchor,sesame seeds,,,
12,anchor,oil seeds,,,
12,anchor,cottonseed,,,
13,anchor,gum arabic,,,
13,anchor,natural resin,,,
13,anchor,vegetable extract,,,
14,anchor,bamboo,,,
14,anchor,rattan,,,
14,anchor,vegetable fibre,,,
15,anchor,vegetable oil,,,
15,anchor,palm oil,,,
15,anchor,olive oil,,,
15,anchor,sunflower oil,,,
15,anchor,coconut oil,,,
15,anchor,animal fat,,,
15,anchor,beeswax,,,
16,anchor,canned tuna,,,
16,anchor,canned sardines,,,
16,anchor,corned beef,,,
16,anchor,sausages canned,,,
16,anchor,prepared meat,,,
17,anchor,sugar,,,
17,anchor,raw sugar,,,
17,anchor,refined sugar,,,
17,anchor,molasses,,,
17,anchor,confectionery,,,
17,anchor,candy,,,
18,anchor,cocoa,,,
18,anchor,chocolate,,,
18,anchor,cocoa butter,,,
18,anchor,cocoa powder,,,
19,anchor,bread,,,
19,anchor,pastries,,,
19,anchor,biscuits,,,
19,anchor,pasta,,,
19,anchor,cereal,,,
19,anchor,breakfast cereal,,,
20,anchor,canned vegetables,,,
20,anchor,jam,,,
20,anchor,fruit juice,,,
20,anchor,frozen vegetables,,,
20,anchor,pickles,,,
21,anchor,sauces,,,
21,anchor,seasonings,,,
21,anchor,soup mix,,,
21,anchor,instant noodles,,,
21,anchor,protein powder,,,
22,anchor,wine,,,
22,anchor,beer,,,
22,anchor,whisky,,,
22,anchor,vodka,,,
22,anchor,spirits,,,
22,anchor,bottled water,,,
22,anchor,soft drinks,,,
22,anchor,vinegar,,,
23,anchor,animal feed,,,
23,anchor,cattle feed,,,
23,anchor,fish meal,,,
23,anchor,oil cake,,,
23,anchor,bran,,,
24,anchor,cigarettes,,,
24,anchor,cigars,,,
24,anchor,tobacco leaves,,,
24,anchor,nicotine pouches,,,
24,anchor,vape liquid,,,
25,anchor,salt,,,
25,anchor,cement,,,
25,anchor,gypsum,,,
25,anchor,marble,,,
25,anchor,limestone,,,
25,anchor,sulphur,,,
26,anchor,iron ore,,,
26,anchor,copper ore,,,
26,anchor,bauxite,,,
26,anchor,coal slag,,,
26,anchor,mineral ore,,,
27,anchor,crude oil,,,
27,anchor,diesel,,,
27,anchor,petroleum,,,
27,anchor,natural gas,,,
27,anchor,gasoline,,,
27,anchor,coal,,,
27,anchor,bitumen,,,
27,anchor,kerosene,,,
28,anchor,sulfuric acid,,,
28,anchor,sulphuric acid,,,
28,anchor,hydrochloric acid,,,
28,anchor,nitric acid,,,
28,anchor,sodium hydroxide,,,
28,anchor,caustic soda,,,
28,anchor,chlorine,,,
28,anchor,ammonia,,,
28,anchor,inorganic chemical,,,
29,anchor,ethanol industrial,,,
29,anchor,formaldehyde,,,
29,anchor,glycerin,,,
29,anchor,methanol,,,
29,anchor,acetone,,,
29,anchor,benzene,,,
29,anchor,organic chemical,,,
30,anchor,medicines,,,
30,anchor,medicaments,,,
30,anchor,tablets,,,
30,anchor,capsules,,,
30,anchor,vaccines,,,
30,anchor,antibiotics,,,
30,anchor,insulin,,,
30,anchor,pharmaceutical,,,
30,anchor,injection,,,
30,anchor,syringe sterile,,,
31,anchor,fertiliser,,,
31,anchor,fertilizer,,,
31,anchor,urea,,,
31,anchor,potash,,,
31,anchor,nitrogen fertilizer,,,
31,anchor,phosphate fertilizer,,,
31,anchor,ammonium nitrate,,,
32,anchor,paint,,,
32,anchor,varnish,,,
32,anchor,dye,,,
32,anchor,pigment,,,
32,anchor,ink,,,
32,anchor,printing ink,,,
33,anchor,perfume,,,
33,anchor,cosmetics,,,
33,anchor,essential oil,,,
33,anchor,lipstick,,,
33,anchor,mascara,,,
33,anchor,fragrance,,,
33,anchor,cologne,,,
34,anchor,soap,,,
34,anchor,detergent,,,
34,anchor,shampoo,,,
34,anchor,laundry detergent,,,
34,anchor,washing powder,,,
34,anchor,candle,,,
34,anchor,wax polish,,,
35,anchor,gelatin,,,
35,anchor,glue,,,
35,anchor,adhesive,,,
35,anchor,enzyme,,,
35,anchor,casein,,,
36,anchor,explosives,,,
36,anchor,fireworks,,,
36,anchor,matches,,,
36,anchor,pyrotechnic,,,
36,anchor,detonator,,,
95,suppressor,sparkler toy,,explosives_pyrotechnics,
37,anchor,photographic film,,,
37,anchor,photographic paper,,,
37,anchor,x-ray film,,,
37,anchor,cinematographic film,,,
38,anchor,industrial chemical,,,
38,anchor,catalyst,,,
38,anchor,reagent,,,
38,anchor,laboratory chemical,,,
38,anchor,activated carbon,,,
39,anchor,plastic,,,
39,anchor,polyethylene,,,
39,anchor,pvc,,,
39,anchor,plastic bag,,,
39,anchor,plastic pellets,,,
39,anchor,polymer,,,
39,anchor,polypropylene,,,
40,anchor,rubber,,,
40,anchor,natural rubber,,,
40,anchor,tyres,,,
40,anchor,tires,,,
40,anchor,rubber gloves,,,
40,anchor,latex,,,
40,modifier,tyre,87,,car
40,modifier,tire,87,,car
41,anchor,rawhide,,,
41,anchor,leather,,,
41,anchor,cattle hide,,,
41,anchor,sheep skin,,,
41,anchor,tanned leather,,,
42,anchor,handbag,,,
42,anchor,leather wallet,,,
42,anchor,suitcase,,,
42,anchor,leather belt,,,
42,anchor,saddle,,,
42,anchor,leather goods,,,
43,anchor,fur coat,,,
43,anchor,fur,,,
43,anchor,mink,,,
43,anchor,sable,,,
43,anchor,fur trim,,,
62,suppressor,fake fur,,leather_hides_furs,
62,suppressor,faux fur,,leather_hides_furs,
44,anchor,timber,,,
44,anchor,plywood,,,
44,anchor,lumber,,,
44,anchor,sawn wood,,,
44,anchor,charcoal,,,
44,anchor,wood pellets,,,
44,anchor,fuelwood,,,
45,anchor,cork,,,
45,anchor,cork stopper,,,
45,anchor,natural cork,,,
46,anchor,wickerwork,,,
